iteration,total_return_pct,annual_return_pct,win_rate_pct,max_drawdown_pct,sharpe_ratio,total_trades,params
0,87.00723999999998,11.004547508209672,54.49438202247191,-30.44286871951965,0.6556055811705369,178,"{'percentile_window': 39, 'long_entry_pct': 0.28594807696512575, 'short_entry_pct': 0.6597840274620372, 'atr_stop_mult': 1.3685891218943875, 'max_hold_days': 5}"
1,89.21232499999998,11.221782817907155,54.285714285714285,-30.519447542998783,0.666113052754214,175,"{'percentile_window': 41, 'long_entry_pct': 0.3598576035813035, 'short_entry_pct': 0.6604075320866614, 'atr_stop_mult': 1.4586722018982563, 'max_hold_days': 7}"
2,98.22579499999998,12.088386376573347,56.36363636363636,-30.44286871951965,0.7277081277905398,165,"{'percentile_window': 44, 'long_entry_pct': 0.22813750541054456, 'short_entry_pct': 0.6107142646003528, 'atr_stop_mult': 1.3317042104321102, 'max_hold_days': 8}"
3,87.24664499999999,11.028235605016178,54.49438202247191,-30.979991622531966,0.6504711112767785,178,"{'percentile_window': 39, 'long_entry_pct': 0.30153694171908973, 'short_entry_pct': 0.6043681425026676, 'atr_stop_mult': 1.185091375325047, 'max_hold_days': 5}"
4,100.74821499999997,12.325018295423451,55.932203389830505,-30.519447542998783,0.7239311425357008,177,"{'percentile_window': 33, 'long_entry_pct': 0.33250523622273753, 'short_entry_pct': 0.737745806744641, 'atr_stop_mult': 1.7020231021337207, 'max_hold_days': 5}"
5,83.28803499999998,10.633263616991151,54.44444444444444,-30.979991622531966,0.6292151160327684,180,"{'percentile_window': 38, 'long_entry_pct': 0.3005362050050413, 'short_entry_pct': 0.6314582815085832, 'atr_stop_mult': 1.6097091032303148, 'max_hold_days': 5}"
6,66.1592,8.837670908298989,53.80434782608695,-30.44286871951965,0.5304346713194067,184,"{'percentile_window': 42, 'long_entry_pct': 0.30048311193726274, 'short_entry_pct': 0.613732985544361, 'atr_stop_mult': 1.6731986281195104, 'max_hold_days': 9}"
7,64.696065,8.677241401687352,54.23728813559322,-30.237624007245355,0.5336517682119013,177,"{'percentile_window': 30, 'long_entry_pct': 0.2625384994731327, 'short_entry_pct': 0.7934811589803776, 'atr_stop_mult': 1.8002936664444502, 'max_hold_days': 5}"
8,69.277695,9.175716798619193,53.591160220994475,-30.519447542998783,0.5451504467343498,181,"{'percentile_window': 41, 'long_entry_pct': 0.3006010460580333, 'short_entry_pct': 0.7068862092792846, 'atr_stop_mult': 1.6573545976088826, 'max_hold_days': 7}"
9,102.548445,12.492390069905813,56.36363636363636,-30.44286871951965,0.750232014860449,165,"{'percentile_window': 43, 'long_entry_pct': 0.3496659085200984, 'short_entry_pct': 0.6041460348115918, 'atr_stop_mult': 1.3074199237874877, 'max_hold_days': 7}"
10,82.48953499999999,10.55273277160107,54.49101796407185,-30.846300308761247,0.6329358442904428,167,"{'percentile_window': 39, 'long_entry_pct': 0.34058624097166246, 'short_entry_pct': 0.7799484965620572, 'atr_stop_mult': 1.25453576965388, 'max_hold_days': 7}"
11,90.71368499999998,11.368486257484012,56.52173913043478,-33.09329377723783,0.6796039310877382,138,"{'percentile_window': 46, 'long_entry_pct': 0.21800383606384152, 'short_entry_pct': 0.7450015377071302, 'atr_stop_mult': 1.0179990861850188, 'max_hold_days': 8}"
12,93.716875,11.659074567055994,55.487804878048784,-30.519447542998783,0.7008086543743187,164,"{'percentile_window': 37, 'long_entry_pct': 0.30381483642055873, 'short_entry_pct': 0.7576204405895014, 'atr_stop_mult': 1.5129046402991553, 'max_hold_days': 7}"
13,108.13423,13.003941687283604,56.41025641025641,-30.846300308761247,0.7787747549353621,156,"{'percentile_window': 39, 'long_entry_pct': 0.32838130497665974, 'short_entry_pct': 0.7930858398351195, 'atr_stop_mult': 1.6656031890861378, 'max_hold_days': 7}"
14,97.14770999999999,11.986483662737403,55.90062111801242,-30.519447542998783,0.7234510817128446,161,"{'percentile_window': 44, 'long_entry_pct': 0.2592648120657667, 'short_entry_pct': 0.6404264403555102, 'atr_stop_mult': 1.9783409119534854, 'max_hold_days': 7}"
15,95.378045,11.818200352590669,55.21472392638037,-30.519447542998783,0.7127171337251212,163,"{'percentile_window': 46, 'long_entry_pct': 0.33559712790239093, 'short_entry_pct': 0.6280732138840456, 'atr_stop_mult': 1.516531598623828, 'max_hold_days': 9}"
16,72.54875,9.5247694447683,54.02298850574713,-30.44286871951965,0.5725943280780822,174,"{'percentile_window': 41, 'long_entry_pct': 0.3113900121080463, 'short_entry_pct': 0.6416301853358, 'atr_stop_mult': 1.6069441405903437, 'max_hold_days': 7}"
17,80.78920499999998,10.380266959770456,54.4973544973545,-30.979991622531966,0.6165403853733069,189,"{'percentile_window': 38, 'long_entry_pct': 0.35091498281973543, 'short_entry_pct': 0.6108642050357022, 'atr_stop_mult': 1.0636881573629995, 'max_hold_days': 9}"
18,84.21355,10.726239308822194,55.033557046979865,-33.09329377723783,0.6426477787941423,149,"{'percentile_window': 48, 'long_entry_pct': 0.29619195584401015, 'short_entry_pct': 0.7350349905442755, 'atr_stop_mult': 1.9984422381510796, 'max_hold_days': 5}"
19,86.88742,10.992682344572003,55.24861878453039,-30.44286871951965,0.6560994553707946,181,"{'percentile_window': 35, 'long_entry_pct': 0.20066776259298383, 'short_entry_pct': 0.660447082058265, 'atr_stop_mult': 1.5782817893311871, 'max_hold_days': 5}"
20,79.63982499999999,10.262917274221351,54.4973544973545,-30.519447542998783,0.5964314664884488,189,"{'percentile_window': 35, 'long_entry_pct': 0.3368438748231211, 'short_entry_pct': 0.7213382871484288, 'atr_stop_mult': 1.5030133903008993, 'max_hold_days': 5}"
21,71.23925,9.385700719214473,53.57142857142857,-30.979991622531966,0.555332166219363,196,"{'percentile_window': 33, 'long_entry_pct': 0.39702637445784095, 'short_entry_pct': 0.6112184821802088, 'atr_stop_mult': 1.5251545621954639, 'max_hold_days': 8}"
22,61.092795,8.277027562137818,54.48717948717948,-32.87649050187535,0.5006581492305944,156,"{'percentile_window': 43, 'long_entry_pct': 0.24105847317264786, 'short_entry_pct': 0.7822836208038573, 'atr_stop_mult': 1.8115321543626113, 'max_hold_days': 5}"
23,68.89056,9.134034752498653,53.888888888888886,-30.44286871951965,0.555436444259254,180,"{'percentile_window': 37, 'long_entry_pct': 0.20421838344768795, 'short_entry_pct': 0.6515326401609233, 'atr_stop_mult': 1.3747976920763902, 'max_hold_days': 5}"
24,85.21530999999999,10.826436837857578,54.91329479768786,-30.519447542998783,0.6451121912002861,173,"{'percentile_window': 32, 'long_entry_pct': 0.2727813793874662, 'short_entry_pct': 0.7597134487037385, 'atr_stop_mult': 1.6272494164863105, 'max_hold_days': 8}"
25,92.33159500000001,11.525504902581286,54.966887417218544,-33.09329377723783,0.6770736205552758,151,"{'percentile_window': 47, 'long_entry_pct': 0.30170327986695444, 'short_entry_pct': 0.7072348674635635, 'atr_stop_mult': 1.4004726098676128, 'max_hold_days': 6}"
