iteration,total_return_pct,annual_return_pct,win_rate_pct,max_drawdown_pct,sharpe_ratio,total_trades
0,35.422556654552565,5.187355002134031,52.5,-26.802721368701395,0.33951913647536275,40
1,93.56297654159191,11.644274941215226,57.77777777777777,-19.216847004673628,0.7103141798140454,45
2,152.27839561638953,16.687916860369235,58.333333333333336,-18.558087302344813,0.8097597236570998,48
3,79.53180518798446,10.251856508211453,52.63157894736842,-19.69592865194478,0.5900322257213737,38
4,162.98010515497742,17.49924756847787,64.44444444444444,-16.861930184650138,0.9323733992806928,45
5,24.721141440761706,3.7530720892021696,45.65217391304348,-40.64572369704944,0.27352948678741373,46
6,28.230078632814,4.2342979678072545,55.00000000000001,-34.60998756914491,0.30766335327589855,40
7,79.97674596324858,10.297380975057235,57.14285714285714,-21.691703774686054,0.5160893125708771,42
8,130.55197329784215,14.948388180050287,58.536585365853654,-26.721727913426964,0.778687751602698,41
9,90.37373542740995,11.335353024661487,55.00000000000001,-17.41364462998522,0.5941530237104352,40
10,133.49315244046446,15.191667526087894,67.56756756756756,-12.493015565336355,0.9592909355553069,37
11,73.65710221838498,9.641790829758712,55.00000000000001,-18.36239139064936,0.5348772858129627,40
12,70.13217528150595,9.267436581163246,53.65853658536586,-22.16969040024887,0.537133957814262,41
13,150.14679023005982,16.522898321564305,61.81818181818181,-18.141886808538622,0.8483596305294347,55
14,100.16486218372916,12.270514267612542,59.375,-14.065818787825846,0.6914913792533973,32
15,83.45932876841961,10.650500957260167,60.0,-15.931599973157457,0.6292726088262095,40
16,77.34214947028862,10.026440839289208,56.25,-21.847141065139724,0.5578325605606954,32
17,89.78983974692107,11.278328318960096,55.88235294117647,-19.68422960612151,0.6234947568307977,34
18,56.88900511538139,7.800575512174324,57.89473684210527,-19.940995923562742,0.46567915811763383,38
19,20.0985515871911,3.1015927838637047,45.65217391304348,-33.13520599289261,0.24956574914042673,46
20,74.25158550814048,9.70430101694264,54.54545454545454,-17.954223063683163,0.5734104368194012,33
21,56.672302248091256,7.775727629473916,56.41025641025641,-19.46688728172374,0.46063363059201223,39
22,38.02409795133694,5.521704108383729,51.21951219512195,-33.53390929276958,0.34782423635364185,41
23,112.58549297370377,13.403465690635219,61.224489795918366,-16.592966677178207,0.7700289610524276,49
24,108.36762547122696,13.025066157059872,57.57575757575758,-19.00263052067638,0.7009928242175231,33
25,105.89857872893612,12.800587945961261,56.81818181818182,-17.032144328554914,0.6760915825097606,44
26,60.330734263364285,8.19143156659381,53.333333333333336,-20.835807175612416,0.4742764936200262,30
27,92.58616345561998,11.55011055648223,56.81818181818182,-20.8011947651431,0.6208282592242582,44
28,127.06889268543135,14.65691815981851,60.0,-13.863772703531712,0.7717393977375828,45
29,27.17518108425727,4.090791810730465,58.139534883720934,-33.63770936539714,0.2941779168055424,43
30,104.51828316682239,12.674116517370116,64.51612903225806,-14.247322375448402,0.7847801551967297,31
31,74.13612825224477,9.692174553204458,55.55555555555556,-22.213585444651198,0.5526742334501906,36
32,17.432401024937764,2.716281797914255,51.21951219512195,-32.129139651028034,0.23862157852502894,41
33,70.89510278844456,9.349005328067129,54.347826086956516,-20.645065990187426,0.5161569873991821,46
34,59.23594741672253,8.067867944277364,48.64864864864865,-21.94854866623384,0.4808469905621322,37
35,79.87921469384625,10.287410017646238,52.77777777777778,-19.704754763361095,0.5675575053166296,36
36,68.50652496941915,9.092607743541613,50.0,-21.713148473480967,0.5462949920797769,28
37,102.54547784293746,12.49211522763587,58.620689655172406,-14.52079346027418,0.7793242860308613,29
38,66.12331188978507,8.83374996439754,51.42857142857142,-19.043267297315055,0.4746624314191387,35
39,107.78706141832566,12.97248314435182,68.75,-13.775717983682236,0.8227328190216096,32
40,221.3666869150676,21.494892023525303,66.66666666666666,-17.86713493336773,1.2094721003820572,60
41,63.38706999761485,8.532703369545281,53.65853658536586,-28.579534155148433,0.5194964050679411,41
42,67.36106178130854,8.968574199975144,50.0,-13.90720848483815,0.5104943417267042,30
43,16.351373939505116,2.5579727230016003,52.63157894736842,-28.05728693484883,0.2280179878990079,38
44,104.90745062710197,12.709846321191742,58.536585365853654,-20.85085540712786,0.7192397675365784,41
45,102.4717030805927,12.485280528960585,56.666666666666664,-14.95321859707803,0.735106702681757,30
46,161.64182195157105,17.399309957291354,64.70588235294117,-13.483859401496554,0.9498758816650082,51
47,7.536432545210019,1.2191936098312928,52.5,-38.71338576686158,0.18562171214657786,40
48,109.80782582488334,13.154983297455058,62.7906976744186,-14.290106089475957,0.8037631034400293,43
49,51.1625047358829,7.134126018909681,52.94117647058824,-23.593166619595575,0.410015117600425,34
50,56.28189839357556,7.730890246971511,52.17391304347826,-23.633736680534305,0.4396642756914685,46
51,29.683770467438862,4.430452053442235,54.54545454545454,-28.632301456929326,0.3093244315122139,44
52,59.28245879671691,8.073131848275006,56.41025641025641,-26.64247459137352,0.48252071433779126,39
53,86.63533417625291,10.967698860883557,53.125,-21.150744064617058,0.6061678642570626,32
54,51.50436292455495,7.174496789547624,56.41025641025641,-21.095289238508506,0.4489784658073998,39
55,113.27281441045349,13.464533801238865,55.55555555555556,-21.35114002098632,0.7107827500400146,54
56,42.9737649512933,6.143592438391643,50.0,-23.879104270045527,0.3834585789321344,38
57,70.5313701137495,9.31015460828537,53.48837209302325,-19.38622795592892,0.50311043097813,43
58,45.601539718804716,6.466494353050889,54.761904761904766,-25.355226935481166,0.419074802372017,42
59,67.24264919683381,8.95571189312314,52.38095238095239,-25.18630768382889,0.4825903202881929,42
60,123.39053729316201,14.345034455225324,55.35714285714286,-17.4336702699167,0.7166933872255304,56
61,90.78676350035258,11.375602436684096,56.52173913043478,-18.45301254620121,0.6788703882661907,46
62,88.28239118768333,11.13042839504006,54.54545454545454,-20.921459138989206,0.6200259158802114,44
63,82.30687468838134,10.534269740745561,56.41025641025641,-19.26648232568763,0.6095552496286603,39
64,56.58428626532254,7.765627241457973,51.11111111111111,-26.409751513954312,0.4499565844605044,45
65,66.69206421250561,8.895805954377533,50.0,-24.078938758813155,0.48165720141213536,32
66,113.46383488846116,13.481476737434095,66.66666666666666,-12.778574317356334,0.8332844069979629,42
67,62.333764107632796,8.415696056490152,50.0,-22.05541608928731,0.5292306874367562,30
68,21.289213695699832,3.271368514747519,48.717948717948715,-28.858643117690868,0.25375742833224757,39
69,161.63209331719358,17.398581904118295,61.702127659574465,-14.371594381174136,0.9284018519288336,47
70,169.35256536469925,17.96938339677321,63.63636363636363,-17.993064281632716,1.0184519225686017,55
71,76.54250753262633,9.943542834114961,52.38095238095239,-23.83223148569648,0.5191120467501894,42
72,80.31481236558356,10.331907854154743,51.11111111111111,-18.140080577752286,0.5450162672843304,45
73,202.6744156380653,20.286676251275537,67.3076923076923,-13.378800156768817,1.12612671628632,52
74,154.85116820773186,16.88554815099572,60.0,-16.11614418838737,0.868667470154777,55
75,118.90551139119594,13.958911256535146,62.264150943396224,-14.745101096051428,0.837572322987901,53
76,22.005562669907793,3.3728443035202726,50.0,-26.400345917698072,0.26140638207995237,40
77,39.78281024059441,5.744770474700811,55.88235294117647,-28.63103686662636,0.37777499096013845,34
78,64.72256870821624,8.680158016116923,56.41025641025641,-23.45518446205117,0.4678949064340319,39
79,87.67497970079435,11.070554591246772,51.42857142857142,-19.879363649355085,0.5950973620185375,35
80,171.40878916306696,18.119106111259818,59.375,-20.853962085472173,0.9267001639408505,64
81,63.56788152727412,8.552725718614052,50.0,-22.844866453114093,0.49866420273182743,40
82,104.04986339456339,12.631035283695912,57.99999999999999,-22.507815709207804,0.7001090829834422,50
83,135.29948666563257,15.339815518396716,63.26530612244898,-12.61761469888834,0.950389143629063,49
84,89.07380665985067,11.208198860423945,53.48837209302325,-16.909826024739996,0.6167729860202043,43
85,50.99146064114714,7.113898492926585,51.28205128205128,-25.000553557194312,0.41364277565326807,39
86,62.566729895121576,8.441629611519176,53.48837209302325,-17.339301643851616,0.4857200990527317,43
87,218.8257730043582,21.334150400127385,69.64285714285714,-13.64052436097431,1.2507958358440747,56
88,37.96504342265411,5.514172918074389,50.0,-30.534471493842048,0.34412997103394416,38
89,48.18823646309978,6.779640466902714,50.0,-23.533941754524868,0.3858160130503536,38
