symbol,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,hold_days,exit_reason,capital_after
M,空,2023-06-30,2023-07-03,3723.0,3857.4553445999995,1,-1371.0850397060954,3,硬止损,7805.10774032227
RM,空,2023-07-04,2023-07-14,3600.0,3783.2137199999993,1,-1857.9784480199928,10,硬止损,5947.1292923022775
M,空,2023-07-04,2023-07-14,4030.0,4023.0,1,41.814499999999995,10,超时10天,5988.943792302278
MA,空,2023-07-17,2023-07-17,2312.0,2212.1090285714286,1,983.0753326857144,0,ATR止盈,6972.019124987993
M,空,2023-07-18,2023-07-25,4084.0,4257.3556168,1,-1762.7509126587954,7,硬止损,5209.268212329197
TA,空,2023-07-17,2023-07-27,5956.0,5912.0,1,199.231,10,超时10天,5408.499212329197
RM,空,2023-07-18,2023-07-28,3743.0,3683.0,1,574.009,10,超时10天,5982.508212329197
TA,空,2023-07-31,2023-08-03,6100.0,5881.065714285714,1,1073.7045635714278,3,ATR止盈,7056.212775900624
M,空,2023-08-04,2023-08-10,4325.0,4478.624865,1,-1567.0613370274978,6,硬止损,5489.151438873127
MA,空,2023-08-11,2023-08-14,2350.0,2455.7804699999992,1,-1074.6249316449923,3,硬止损,4414.5265072281345
TA,多,2023-08-15,2023-08-21,5754.0,5978.007942857143,1,1099.5087003857127,6,ATR止盈,5514.035207613847
MA,空,2023-08-15,2023-08-22,2411.0,2521.8586821999993,1,-1125.851827387693,7,硬止损,4388.1833802261535
MA,空,2023-08-23,2023-09-01,2514.0,2632.9903027999994,1,-1207.9174940597943,9,硬止损,3180.2658861663595
TA,空,2023-08-28,2023-09-07,6086.0,6082.0,1,-1.2940000000000005,10,超时10天,3178.9718861663596
MA,多,2023-09-26,2023-10-09,2470.0,2488.0,1,162.647,13,超时13天,3341.6188861663595
MA,多,2023-10-10,2023-10-19,2488.0,2366.847469028571,1,-1228.5172758558886,9,硬止损,2113.101610310471
M,空,2024-03-05,2024-03-08,3140.0,3238.291628,1,-1005.2403006979995,3,硬止损,8994.759699302
RM,空,2024-03-11,2024-03-12,2583.0,2665.0361165999993,1,-838.7292924080933,1,硬止损,8156.030406893907
M,空,2024-03-11,2024-03-18,3218.0,3318.2442435999997,1,-1025.3192908525966,7,硬止损,7130.71111604131
RM,空,2024-03-13,2024-03-21,2657.0,2747.4189313999996,1,-923.1047802598956,8,硬止损,6207.606335781414
M,空,2024-03-19,2024-03-21,3271.0,3395.0458541999997,1,-1263.7897024896968,2,硬止损,4943.816633291717
