sim,total_ret,annual_ret,max_dd,sharpe,calmar,final_nav
1,532.3779845102332,31.50519882185343,-43.63894566109263,0.847791437186189,0.7219514207911458,63237.79845102332
2,2920.915804572369,65.88100592541437,-44.332629789308655,1.4637617237620912,1.4860613105632268,302091.5804572369
3,143.34325911835094,14.117577783369839,-51.195182472031775,0.5237226283786961,0.2757598879754429,24334.325911835094
4,245.73602976773952,20.227038790939012,-54.99782632509096,0.6584092749380515,0.36777887677555515,34573.60297677395
5,358.7012092744389,25.382069470140166,-57.699951503730674,0.740048336979843,0.43989758758287784,45870.12092744389
6,593.3899648092749,33.31620314159851,-44.665340452146076,0.9219600354514832,0.7459072919704507,69338.9964809275
7,265.46751174803467,21.222029519261465,-55.265935958715254,0.6660916583564451,0.383998373520983,36546.75117480347
8,1867.3826450226627,55.646393157013094,-43.24941628014777,1.1417191847232022,1.2866391721119195,196738.26450226628
9,254.12659694894467,20.655906766857225,-60.59179889148085,0.6283455114851964,0.34090268228959,35412.659694894464
10,1845.2867053332657,55.385557149167994,-43.2398216312507,1.2966986871782813,1.2808923593972277,194528.67053332657
11,238.3432505644929,19.841762524741256,-50.49989990056629,0.6333039768761404,0.39290696741596426,33834.32505644929
12,76.33555027666137,8.787956408038111,-65.90199536724165,0.40749560599658,0.1333488668904007,17633.555027666138
13,7858.352807192908,91.5434047860687,-34.962769904175516,1.5846892259824688,2.6183109930067614,795835.2807192908
14,820.7417125709352,39.05029334785557,-67.40537697224842,0.9846794948026444,0.5793349893129895,92074.17125709352
15,562.3421809861263,32.41237068400178,-52.016277179211734,0.8367459822352042,0.6231197702275272,66234.21809861263
16,1089.635956099301,44.44288012154538,-54.06690596729785,1.0498424487634155,0.8219978437165699,118963.59560993011
17,1287.3648113462446,47.77885130901469,-42.06984075293942,1.1155412911902136,1.135703165353113,138736.48113462445
18,461.59132628124945,29.207267155013806,-46.91129274979468,0.811518786062047,0.6226063159417332,56159.13262812494
19,8.423252710054019,1.2081736834070211,-57.11547873819889,0.22515375877048707,0.02115317441257817,10842.325271005402
20,524.2183088669668,31.251828275123938,-50.45596052602275,0.8505298503545266,0.6193882338045225,62421.83088669669
21,65.29516221257911,7.748455228108431,-70.59383064600587,0.3851481495316687,0.10976108191327949,16529.516221257913
22,1048.003040506963,43.680797703579664,-41.57630745487161,1.088443959012156,1.050617536225225,114800.3040506963
23,75.34646897941661,8.697126030940904,-69.13786020831174,0.4011560223257999,0.12579397170720272,17534.64689794166
24,83.27220345305595,9.413055802750137,-59.02227997870965,0.4185657065244734,0.15948309360711901,18327.220345305595
25,404.64814054732886,27.17213267072942,-46.480848359769745,0.7589866224288795,0.584587709338101,50464.81405473289
26,292.9403025507834,22.53380519793553,-46.48429159647466,0.7692287267820413,0.48476172108954924,39294.03025507834
27,309.6512347923646,23.293986471189232,-55.6733686964479,0.722571577466243,0.41840447266981073,40965.12347923646
28,526.8459636343744,31.333727320368453,-44.322120403452296,0.8512686248934029,0.7069546094624082,62684.59636343743
29,190.80216807607022,17.177174117635197,-56.207271202358086,0.5659833250337685,0.30560412825938,29080.216807607023
30,94.61749563417325,10.39330669691736,-52.34126211181661,0.43845365645698686,0.19856813300974946,19461.749563417325
31,312.6731916605143,23.42862663679959,-54.738417597021396,0.6884782744897456,0.4280106671931719,41267.319166051435
32,104.49349873808589,11.207757349915326,-57.69416658737744,0.4537500490608944,0.19426153479383831,20449.349873808587
33,448.6131157162586,28.75943677064212,-63.07643885760268,0.7711197958050859,0.4559457904015092,54861.31157162586
34,933.9861066805203,41.466218029379135,-54.54518977658307,0.9609857249851176,0.760217687374902,103398.61066805202
35,508.40032002415387,30.7525150799123,-47.37182279294389,0.8200124889228628,0.6491731427419959,60840.03200241539
36,970.0539515463266,42.18834950601542,-45.772804143098135,1.0252720448812955,0.9216902983291838,107005.39515463266
37,-47.55914865964607,-9.14021626001592,-74.12406850876573,-0.07644639914024101,-0.12330969473073407,5244.085134035393
38,40.45981000481138,5.174654035162574,-63.21982132093908,0.3259831324007741,0.08185176621890693,14045.981000481139
39,568.5333904884895,32.595441233538594,-43.5686915971167,0.8356709295255509,0.7481390888427714,66853.33904884895
40,-23.19240018458075,-3.842574593903214,-71.94681369514736,0.0780142155416682,-0.053408544403160785,7680.759981541924
41,1299.977261068733,47.97758201494622,-43.380951569261946,1.2427125485724895,1.1059596500170197,139997.7261068733
42,-27.360926814569318,-4.636066362459223,-61.71119222544704,0.07985367091686046,-0.07512521141258244,7263.907318543068
43,3042.9744647267,66.85957998457064,-53.207070919124675,1.2857556039474083,1.2565920060925349,314297.44647266995
44,308.31354842762835,23.23411702976703,-49.07546089781701,0.7173111598138516,0.47343655270287105,40831.354842762834
45,339.35218899903595,24.582199884082012,-57.89338154041687,0.6869602549470666,0.4246115744149535,43935.21889990359
46,214.89869974463627,18.570609628169144,-66.09846332857082,0.5944059091487234,0.28095372710642225,31489.869974463625
47,1133.3710540346578,45.219363479629735,-71.97650576151469,0.9877865273542992,0.6282517191020434,123337.10540346579
48,1573.9562281962758,51.95771465960477,-39.947574225161894,1.1850201332711103,1.3006475528838999,167395.62281962758
49,4076.5405321693947,74.05519175379173,-38.81714269477303,1.500295383056708,1.9077960563996823,417654.0532169395
50,18848.34204804886,117.87795283884526,-39.08328203783107,1.8446612501568538,3.0160709820824176,1894834.2048048861
51,2356.0993383536234,60.859914583536835,-43.091317172268226,1.222754840117255,1.4123475116862694,245609.93383536235
52,1275.2357088062008,47.58628015616233,-32.91261574359524,1.259077753536149,1.4458370773955447,137523.5708806201
53,527.8052407642292,31.363553349735284,-37.61318745372177,0.8885807868757438,0.8338446027294053,62780.524076422924
54,77.51996031934819,8.896155380048532,-74.08385777474868,0.4117599172826829,0.12008223717367977,17751.996031934817
55,1206.545936921183,46.46759680928587,-41.63260638339447,1.1212594287108997,1.1161347041635108,130654.5936921183
56,97.46689617936248,10.63183603567106,-39.28478106099767,0.4473927854453873,0.2706349825181145,19746.68961793625
57,2826.3099883648033,65.09909043847139,-40.20199880208794,1.3058013977230416,1.6192998452378042,292630.9988364803
58,478.00740355237804,29.761270662551475,-54.14269464828182,0.7786285129659759,0.5496821105023433,57800.7403552378
59,600.6749784706109,33.523274489678265,-79.34224965432884,0.8336251337115205,0.42251479679148807,70067.4978470611
60,240.2691932318191,19.94281864658143,-61.728228831270506,0.6333458851537513,0.32307453209282305,34026.91932318191
61,2454.8407055052885,61.80420216764002,-63.04056683631286,1.3197416721522728,0.9803877926433766,255484.07055052885
62,3315.1590230971833,68.93026255017718,-33.12403609881334,1.5452238848637276,2.0809741404866595,341515.90230971837
63,219.04572477387268,18.80119904222073,-58.40221121220098,0.6183184739948179,0.3219261506025463,31904.572477387268
64,-11.353306264938624,-1.7736454873797602,-55.44151669133422,0.14796451565848293,-0.03199128727401842,8864.669373506138
65,73.98640896736124,8.571512478662079,-65.32033158045103,0.4059348083219323,0.13122273373804105,17398.640896736124
66,163.8960574552716,15.49991601101377,-68.95993326215121,0.5726972145964146,0.22476698102492115,26389.605745527162
67,1394.5623850683976,49.421200582323024,-46.99636895250444,1.1471263917263184,1.0515961484656224,149456.23850683976
68,-42.65247516751437,-7.925351400276492,-64.88391653730565,0.026910908789406607,-0.12214662466806751,5734.752483248563
69,4633.8857046905,77.3231331535876,-55.269862835247395,1.441855258519463,1.3990107662122895,473388.5704690499
70,1593.3498680324894,52.217865041852995,-50.86439166606196,1.0727587819316307,1.026609447817187,169334.98680324896
71,309.63385746949916,23.29320980027947,-40.65836559984833,0.6767458490639386,0.5729007906890965,40963.38574694991
72,1238.6254678890962,46.996124972071684,-54.2030284027244,1.0413475587421794,0.8670387311737277,133862.54678890962
73,3196.9863287246553,68.0491695199536,-34.064048943939554,1.5028511786696048,1.9976829422698574,329698.63287246553
74,-47.49453686199647,-9.123601090123866,-78.74535559088636,0.022144028766865435,-0.11586208509267043,5250.546313800352
75,595.0409232849184,33.36329224341441,-57.27309313414227,0.8343313575389233,0.5825299528571387,69504.09232849184
76,24.245849099065865,3.2762857346915863,-54.75004847968693,0.2794609347287959,0.05984078234939164,12424.584909906587
77,864.3280586741073,40.00861948985759,-67.57318359297498,0.9239404480538133,0.592078356568906,96432.80586741073
78,358.75108156764145,25.384093717039846,-56.53298624400014,0.7790677661238573,0.449013848436741,45875.108156764145
79,371.97450315876523,25.914317511396145,-63.797549235118524,0.7641437012037693,0.40619612856744564,47197.45031587652
80,232.60533326604772,19.53775727167382,-62.33476441740744,0.6300135991250574,0.3134327602627107,33260.533326604775
81,343.766715706721,24.767295314166503,-54.91167693762936,0.7737166975880752,0.4510387716313614,44376.6715706721
82,2035.2134443055572,57.550036100567105,-31.119376463861236,1.2876491558909402,1.849331273311329,213521.34443055574
83,1345.992186672289,48.68993327571132,-44.772793586713526,1.04428790728099,1.0874892847910258,144599.2186672289
84,2943.6530267788353,66.06581644185276,-37.447771075475664,1.4017712884717122,1.7642122493404926,304365.30267788353
85,173.25365686782584,16.09911006988838,-43.43695031921111,0.5506703305857046,0.3706316845814135,27325.365686782585
86,699.7486806879433,36.17149488420615,-52.83526010210776,0.9085461811157021,0.6846090056962387,79974.86806879433
87,556.9697788101438,32.25232716940394,-39.085263035810165,0.8466798718512569,0.8251787160765467,65696.97788101438
88,367.43469410687777,25.73372558072926,-62.82942036627113,0.749611230883873,0.40958082106617616,46743.46941068777
89,30.167791977251945,3.992847901361074,-62.636315138543544,0.2824336376410606,0.06374653254313258,13016.779197725195
90,293.61936566125684,22.565227562724168,-49.68164412375717,0.7143639545383346,0.45419647358115,39361.93656612568
91,-64.54716589494589,-14.271670424363291,-78.82866178460695,-0.1692980681857517,-0.18104671703497258,3545.2834105054117
92,244.7232664426572,20.174675558501832,-60.004370792828986,0.6356059616302576,0.3362201001683176,34472.32664426572
93,401.1308184423276,27.04011669228432,-38.74549323111935,0.8103083465461444,0.697890630298298,50113.081844232765
94,53.894802718317926,6.611059794419805,-61.221199566302786,0.36097769372475236,0.1079864465455304,15389.480271831793
95,67.87223574931399,7.996272558939488,-74.84793495391048,0.3845910259408435,0.10683357615495198,16787.2235749314
96,201.89065092162596,17.830142428718275,-45.616022616983415,0.6217069840821262,0.3908745525323352,30189.065092162597
97,33.433327801081816,4.37618495824732,-65.75464473202841,0.30777572057982266,0.06655324465795076,13343.332780108181
98,610.6558236482005,33.80401660985408,-39.44129511040499,0.8634759315800559,0.8570716685450894,71065.58236482005
99,570.3332391161465,32.64839086139304,-40.77331413560653,0.8483621062614393,0.8007293876776586,67033.32391161466
100,1197.971241557903,46.32445352177037,-41.7329888800665,1.0475940263576358,1.1100200288768907,129797.12415579031
101,725.4014274411558,36.81142100497179,-51.631579320505324,0.9774463076591582,0.7129632966766959,82540.14274411558
102,176.2713800097743,16.2886182966022,-60.23664364219502,0.5461844640934419,0.2704104563553774,27627.13800097743
103,46.14682382098483,5.796374716783248,-67.16240679796105,0.3392012153370451,0.0863038564746494,14614.682382098483
104,50.28579372160464,6.236032559111027,-80.54412838413859,0.3517517523197686,0.07742380089296587,15028.579372160464
105,1542.5407866118524,51.53080377736248,-52.46785064696977,1.3036157961146417,0.982140551632042,164254.07866118522
106,1373.7647834614534,49.11058894671969,-41.713954393353255,1.0840411385160917,1.1773179901291022,147376.47834614533
107,3502.59732041883,70.27594802416246,-33.77006206708167,1.360573600344338,2.081013291730546,360259.732041883
108,422.02808794122467,27.813178957001305,-66.05719365471316,0.859213486964352,0.42104693551444633,52202.808794122466
109,52.956601201914836,6.514293712981556,-77.21750589913863,0.35887451472722315,0.0843629127505169,15295.660120191484
110,480.7846229419223,29.853666813348156,-45.756780859574505,0.815759236622322,0.6524424632267666,58078.46229419223
111,452.6742576980581,28.900532896147226,-64.36089451189756,0.7644175384627616,0.44903870767061455,55267.42576980581
112,2956.796308726819,66.17211088574699,-41.224146773765156,1.4562743660941353,1.6051784224642485,305679.6308726819
113,11.800459796860995,1.670215620960258,-53.6403461937487,0.22617586648017454,0.031137301294205794,11180.0459796861
114,2044.5691686250686,57.65235705613465,-45.640185215128035,1.2317254293068791,1.263192881106561,214456.91686250686
115,164.0071858734538,15.507137300369656,-58.422058420000724,0.5275021346889948,0.2654329155759566,26400.71858734538
116,1055.5143989794583,43.8200127771833,-40.01123935986822,1.013371427719387,1.0951925878390893,115551.43989794583
117,-35.1770857936487,-6.234691004984894,-67.68154045766896,0.06596792062306239,-0.09211804227305297,6482.29142063513
118,-10.548378931252266,-1.6417080479076307,-58.56007799316294,0.14782236161647566,-0.028034594627748016,8945.162106874774
119,314.5962962777082,23.51387208642568,-46.92642596312267,0.7827292262664862,0.5010795432173794,41459.62962777082
120,749.9688136683271,37.40858888759142,-69.17068854542168,0.8920384865529252,0.5408156210997764,84996.88136683272
121,114.4718471044226,11.997314628098765,-48.75291727172148,0.47873815452029694,0.24608403557129613,21447.18471044226
122,82.67130382163592,9.359710003163602,-75.5465588272221,0.4209764695121504,0.12389326725747524,18267.130382163592
123,5730.727095868934,82.89639314196708,-46.40256595800575,1.6024660233785843,1.7864614042462261,583072.7095868934
124,70.80676323916846,8.274549469509784,-69.96888366905608,0.3950984630778269,0.11826041856902206,17080.676323916847
125,43.6359791664795,5.524468650117531,-62.26360943807031,0.3432353511828508,0.08872708633463294,14363.59791664795
126,86.31017739400548,9.680498442831986,-76.56836403715563,0.42787148524365926,0.12642947991071637,18631.017739400548
127,711.7281715802743,36.47247423974163,-54.361848947110225,0.8986627363353693,0.670920414705292,81172.81715802744
128,4591.822314387657,77.08826750961184,-49.5222888837937,1.3162106688843835,1.556637813944807,469182.23143876565
129,246.61974986886608,20.27262346055876,-56.523078499399034,0.6891598095871871,0.3586609929742999,34661.974986886606
130,-7.867062396433688,-1.2093802851951718,-76.52483601873251,0.18869644899674812,-0.015803761864960124,9213.293760356632
131,435.76740674428,28.307205424609826,-52.16394660780016,0.750470454749658,0.5426584310700334,53576.740674428
132,53.90017820214506,6.611612772742581,-75.12318479410358,0.37612897554557767,0.08801028325494431,15390.017820214505
133,794.1932786473852,38.44747519412191,-39.89567777655928,0.9045125665538524,0.963700263709061,89419.32786473853
134,184.04507694374576,16.76879723131355,-78.53700787920577,0.571433076769881,0.21351459247218685,28404.507694374573
135,243.7612458740991,20.124814441155724,-58.751355816936965,0.6319117307339048,0.34254212794446015,34376.12458740991
136,281.7788422661288,22.01058737994588,-77.9014773438267,0.6547027172151004,0.28254390199559043,38177.88422661288
137,191.55422068642315,17.22212462741295,-53.42181690342118,0.5912829012691647,0.3223799867860733,29155.422068642314
138,354.92287848975116,25.22816460190187,-54.992135499083105,0.7088474675661441,0.45875950029841095,45492.28784897512
139,487.764887011277,30.0842449423514,-50.12321392045267,0.8025208719299111,0.6002058245924966,58776.4887011277
140,473.5040138847829,29.610639411631624,-41.81101380616277,0.8365747211571943,0.7082018998369071,57350.40138847829
141,327.04113759310724,24.057515869434674,-57.02145855674783,0.7136803004676208,0.421902849880499,42704.11375931072
142,1449.8250270267959,50.229015138829624,-38.7504461861838,1.196429181976251,1.2962177234681345,154982.50270267957
143,598.5859748149919,33.46408423648604,-41.65814184202129,0.9282663822951187,0.8033023739606705,69858.5974814992
144,-9.651722342246138,-1.495920096239678,-66.9610712642523,0.1414466776622393,-0.022340145818997476,9034.827765775386
145,684.8991758236393,35.79303260656586,-61.59065764496271,0.9207038028587947,0.5811438613449073,78489.91758236394
146,3567.375182915569,70.72716156390713,-29.21510447457377,1.4190574689123356,2.420910786934264,366737.5182915569
147,1510.5987062547247,51.08954740441756,-45.73461017786942,1.1885765552177059,1.1170871951400023,161059.87062547245
148,180.91373951237304,16.576737807317233,-66.87818549814047,0.5662863414573985,0.247864646503876,28091.373951237303
149,539.2310911081586,31.715856505658003,-46.924230531721825,0.874925320956615,0.6758950790725781,63923.10911081586
150,3319.9274122374477,68.96526745435875,-58.26515865831874,1.2892167596544435,1.1836450640903269,341992.74122374476
151,586.7379328087031,33.125499413775806,-60.228440940612394,0.867735000261079,0.5499976239869607,68673.79328087032
152,779.3422328484295,38.10358396418718,-66.08624713894206,0.911696232303175,0.5765735779197275,87934.22328484296
153,76.59236584499267,8.8114696143486,-52.96310238452118,0.40917258013558017,0.1663699673477551,17659.236584499267
154,884.4044620540918,40.437678589583555,-56.342833987444905,0.9841536163421349,0.7177075721571698,98440.44620540919
155,1121.0994887998825,45.00388863423937,-42.4923466386532,1.0550346806307287,1.05910574948811,122109.94887998824
156,587.8020375398867,33.15611107928178,-54.199429904628424,0.8066293001544617,0.611742801310358,68780.20375398867
157,54.01215142478995,6.623127768367532,-63.97099920829087,0.35490447783607726,0.10353328618179768,15401.215142478994
158,161.16773584575893,15.321808311962325,-60.56133006950771,0.5237433057076217,0.2529965622349627,26116.77358457589
159,591.5864838203894,33.26465451728551,-38.84368051884429,0.854391578390476,0.8563723641262001,69158.64838203894
160,2026.4501690499576,57.45384774674871,-39.58052490779701,1.1544569509624054,1.4515686156408403,212645.01690499575
161,1997.5340999188481,57.13404344767874,-47.5092717405721,1.3368008800507913,1.2025872288605772,209753.40999188484
162,249.18534301072324,20.40440526422045,-67.25383278274771,0.6212878039738797,0.30339393934816294,34918.53430107232
163,95.48458620684043,10.466205719162168,-59.636773101071114,0.44081903729169003,0.17549919579693338,19548.458620684043
164,229.29682083058586,19.360430597810762,-57.88553030409498,0.603341164298862,0.33446062420268013,32929.682083058586
165,-54.55986706858709,-11.053126332421392,-78.2790454326288,-0.053259702431982574,-0.14120159835028026,4544.013293141291
166,1158.1650593740867,45.64920564683541,-41.98375331392182,1.0480617444551987,1.0873064469845322,125816.50593740866
167,46.82439901698356,5.869069283650075,-53.86538884289783,0.3370287723221727,0.10895807882808801,14682.439901698357
168,1753.2194593443428,54.270815499952604,-37.05380361426353,1.1545956575473788,1.4646489754444951,185321.94593443428
169,224.3475309246949,19.092309793190566,-55.2597567784542,0.6467728556011689,0.34550115502199724,32434.75309246949
170,964.7386997744375,42.08324503677214,-60.71758030973214,1.035962525197155,0.6930981903774385,106473.86997744376
171,3998.4801409763145,73.56822203863496,-46.0970898028527,1.3667122436841248,1.5959407058725477,409848.01409763144
