atr_stop,atr_take,hold_days,long_pct,short_pct,return_pct,annual_pct,win_rate,profit_factor,max_dd,sharpe,calmar,trades,score
1.5,2.0,7,0.25,0.75,121.33251135749354,14.16176087386436,49.494949494949495,1.4852461837957278,-23.275432837902702,0.7395204811471577,0.6084424282242669,99,1.1423384549986237
1.5,2.0,7,0.3,0.75,113.42644507143089,13.471612856840022,49.074074074074076,1.3902449177375842,-23.275432837902702,0.719752363938025,0.5787910777281992,108,1.1018176041079624
1.5,2.0,14,0.25,0.75,94.7482019380449,11.75232980731382,49.42528735632184,1.3534051086905319,-21.393480704090624,0.6015713049730513,0.5493416414967328,87,0.989675620252375
1.5,3.0,7,0.3,0.75,100.61709693556612,12.306826998556408,44.95412844036697,1.5879706325245293,-33.11214898948911,0.5901526284816275,0.3716710444393991,109,0.9494136555311692
2.0,2.5,7,0.25,0.75,90.1672023886634,11.30975316095486,47.87234042553192,1.4281971535183646,-30.000050066936424,0.5900198553152745,0.3769911428721093,94,0.9196068921537328
2.0,2.5,7,0.25,0.7,85.8136668507785,10.88084063038397,48.91304347826087,1.365940614568721,-33.19472474141677,0.5841871398728355,0.327788246932141,92,0.889452330581112
1.5,2.5,7,0.25,0.7,85.72175258515698,10.871695305255047,47.95918367346938,1.4047199161536827,-34.28488676785298,0.5728312069957912,0.317098766545988,98,0.8814273705175837
1.5,2.5,7,0.25,0.75,82.1634403705571,10.514715443482636,44.554455445544555,1.5823554906939712,-32.41094784303776,0.560820411610249,0.324418634542998,101,0.8681440761186703
2.0,3.0,7,0.25,0.75,83.60067137091029,10.65959602797031,48.38709677419355,1.3766912744177537,-30.541923209462336,0.528474218528919,0.34901521933850616,93,0.8668962673258503
2.5,3.0,7,0.25,0.7,72.07735622983385,9.470286098446934,49.42528735632184,1.296726067652544,-32.51489265107427,0.49832714017864227,0.29125995278763567,87,0.8029409105972491
1.5,3.0,7,0.25,0.75,71.4893472002453,9.407837378117545,45.45454545454545,1.4859196371247214,-33.11214898948911,0.4845629369032345,0.2841204109435454,99,0.7935293396450933
1.5,3.5,7,0.3,0.75,71.65655025553193,9.425613089356055,45.714285714285715,1.4339405744393283,-33.11214898948911,0.4807946409742196,0.2846572444557452,105,0.7926846804930071
2.5,3.0,7,0.3,0.7,70.44456868472146,9.29643653325507,49.46236559139785,1.2522397723408947,-32.51489265107427,0.47932378530691355,0.28591318547526934,93,0.7888371758195106
1.5,2.5,7,0.3,0.7,65.5444239334001,8.76623257108129,47.11538461538461,1.3341213817857227,-34.28488676785298,0.48347957905256417,0.25568795459172683,104,0.7667314897987441
2.0,3.0,7,0.3,0.75,63.262190813280185,8.51481482333385,47.42268041237113,1.3211335619269517,-30.541923209462336,0.45037251004603124,0.27879104943515265,97,0.7535728912887988
1.5,2.5,7,0.3,0.75,61.23388976906499,8.288900885462036,45.19230769230769,1.4188138914669104,-32.41094784303776,0.4584117863136433,0.25574385931581406,104,0.7437895416273965
1.5,2.0,14,0.25,0.7,54.87186310183131,7.564586647926208,47.674418604651166,1.2932635046975012,-27.452171191359454,0.42750238593938195,0.2755551316941793,86,0.7182830831895005
2.0,3.5,7,0.25,0.75,55.025308136494914,7.582345638110355,47.82608695652174,1.2938576335025995,-31.05563593563332,0.42537900189403666,0.24415361043727177,92,0.7084736082982809
1.5,2.0,10,0.25,0.75,49.48453531936235,6.931588461494487,51.19047619047619,1.1151302927706517,-32.6067870000225,0.4272204820247715,0.2125811556192183,84,0.6831161454537611
2.5,3.5,7,0.3,0.7,39.586598106017036,5.717316250123838,48.31460674157304,1.2108284194372962,-32.51489265107427,0.35958202369037845,0.175836848409061,89,0.6153436583169207
2.5,3.5,7,0.25,0.7,38.92528193332991,5.633656163559664,48.837209302325576,1.1915333539932795,-32.9312293836215,0.36195488493525485,0.1710733631572707,86,0.6128798087212729
1.5,2.0,14,0.3,0.7,38.72200133635918,5.607873384618456,50.66666666666667,1.098520920871361,-37.83181736027016,0.37170449397937894,0.14823166783702219,75,0.6093173019519358
1.5,3.5,7,0.25,0.75,36.33459184470296,5.302689471183797,44.680851063829785,1.3850929232305949,-33.11214898948911,0.34664332159833233,0.16014331999010534,94,0.5957041001704735
2.0,3.5,7,0.3,0.75,33.78490066095999,4.971803283688225,46.666666666666664,1.2641741060318266,-33.96192716766507,0.33449322604677084,0.1463934381327408,90,0.5790700238414105
2.5,3.5,10,0.25,0.7,29.2736078495501,4.373253032850899,49.31506849315068,1.160194424619321,-31.113710335629907,0.3147871601679062,0.140557104430032,73,0.5559028189448223
2.0,3.5,7,0.25,0.7,21.544856136420286,3.3061048695487427,45.23809523809524,1.3023593072885724,-37.96945970656957,0.2770662712438923,0.08707273938313934,84,0.5015828987217597
2.0,3.0,7,0.25,0.7,21.472128768581342,3.295797605127837,45.78313253012048,1.2741948035794601,-37.551114904113795,0.27657186318730964,0.08776830231388885,83,0.5013756222748345
2.0,2.5,7,0.3,0.75,20.643252186864107,3.1779605585271264,43.66197183098591,1.3819098920843478,-40.0412317506146,0.2808998143167745,0.07936720274541373,71,0.49809984311092625
2.0,2.5,7,0.3,0.7,19.779163823678644,3.0543972093441063,47.43589743589743,1.1808232134946675,-42.00894687299005,0.27662190529246333,0.07270825471009254,78,0.491798730001049
1.5,2.0,14,0.3,0.75,18.876504384792995,2.9245224336060582,47.674418604651166,1.1559182434600344,-37.34586933519078,0.27249997342623,0.07830912723861268,86,0.4891222406964548
1.5,3.0,10,0.3,0.75,17.97100456201182,2.793410686448694,48.10126582278481,1.1508601353069237,-28.64080304995592,0.2645534174347272,0.09753255457175435,79,0.4889941470314526
1.5,2.0,10,0.3,0.75,9.412835542440453,1.510943606985382,46.666666666666664,1.1805024932557007,-39.79905169211223,0.21681054372279054,0.03796431177994213,75,0.4263520176504202
1.5,3.5,14,0.25,0.75,8.698860500330548,1.40021512094759,49.18032786885246,1.07005115133743,-38.80558997460722,0.20982268877711455,0.03608282007473235,61,0.4208505030342572
1.5,3.5,14,0.25,0.7,7.883981102367303,1.2730945924859238,49.18032786885246,1.0665011482986364,-39.244877731200404,0.2048899555738974,0.032439764526869454,61,0.4153398548947217
1.5,3.0,14,0.25,0.75,5.65091056331091,0.9205902920002895,44.18604651162791,1.2980835453192894,-36.84467493469918,0.1911938274622957,0.024985708074012777,43,0.40092597509705485
1.5,3.0,14,0.25,0.7,4.82296894398388,0.7883156462886953,44.18604651162791,1.2928461543796148,-37.3157284365289,0.1862406050242465,0.021125559631766478,43,0.39530281673118023
1.5,2.0,10,0.3,0.7,4.295020876010572,0.7035136661392105,46.808510638297875,1.1624271737842393,-36.59899779946779,0.1816442465361409,0.019222211219932388,47,0.39130942460846774
2.5,3.0,10,0.3,0.7,3.086936438075052,0.5081103137388521,48.97959183673469,1.0587330480763832,-35.59456980668869,0.14229367056290232,0.014274939028575406,49,0.3704607592479587
2.0,3.0,7,0.3,0.7,2.8741058607417154,0.4734882273561336,44.06779661016949,1.2859343922954316,-39.88138574462698,0.140891591076178,0.011872411615484657,59,0.36854067749734165
1.5,3.5,14,0.3,0.75,3.5925276824162107,0.5901188675103919,48.484848484848484,1.0865476201145623,-42.254547856265944,0.13184212411923776,0.013965807172230407,33,0.36770417484661283
1.5,3.5,14,0.3,0.7,3.276223237752903,0.53885242157794,48.484848484848484,1.0843867307605668,-42.43086504420204,0.12938524641410679,0.012699538909154798,33,0.36539262995164784
2.5,3.5,14,0.3,0.7,3.359759843410168,0.5524046880683864,48.275862068965516,1.0994977144512548,-40.69506463481368,0.126561365647619,0.01357424279886306,29,0.364776098628937
2.0,2.5,14,0.3,0.75,2.4124538990386646,0.39818364198376255,46.666666666666664,1.160798985073351,-37.15544014246075,0.13152825221229866,0.01071669829389865,30,0.363063672070205
2.0,3.5,14,0.25,0.75,1.9638605696085825,0.32473771063599166,44.827586206896555,1.248732678222417,-39.972222034996435,0.12611038019070156,0.008124084529293309,29,0.35877295914389434
1.5,2.5,14,0.25,0.75,2.2159316791296964,0.36604110987921157,47.22222222222222,1.131999064513768,-41.72470252770533,0.12357258889609903,0.00877276739447475,36,0.35870866081417113
2.0,2.5,14,0.25,0.75,0.17369096789780997,0.028934168884231504,45.94594594594595,1.1775098715036856,-40.55881773123789,0.13477023863572188,0.0007133878772296356,37,0.35464318472115103
2.0,2.5,14,0.3,0.7,0.9822360416332641,0.1630772464873642,46.666666666666664,1.1500948417595596,-38.06165414579883,0.1228646186431937,0.004284554892508904,30,0.3533779220499299
2.0,3.5,7,0.3,0.7,0.35776617351493545,0.0595525941000874,44.827586206896555,1.2327754893318952,-37.99799069986405,0.12949923551716835,0.0015672563996995891,58,0.353343169647322
1.5,2.5,14,0.25,0.7,1.3475837619788353,0.22339750834101668,47.22222222222222,1.126331304229437,-42.21976462174625,0.11712112791350213,0.005291301605834882,36,0.3524785929330878
2.0,3.5,14,0.25,0.7,0.49086415049387594,0.08166250645667006,44.827586206896555,1.2352105487455654,-40.29641799364349,0.11748965786021577,0.0020265450509658655,29,0.34907641911085774
1.5,2.5,14,0.3,0.75,0.22453727373594345,0.0373964488780798,48.275862068965516,1.073192575596767,-41.55134293658159,0.0985465451943348,0.0009000057816460165,29,0.34036223163343554
2.0,2.5,14,0.25,0.7,-0.860169664914065,-0.14391095234175255,42.30769230769231,1.354566876812618,-41.55963123352719,0.10722331661049322,-0.003462758163880338,26,0.33926999020029097
1.5,2.5,14,0.3,0.7,-0.10377808626408523,-0.01730778005010203,48.275862068965516,1.0706152305934444,-41.742808942883855,0.09576430722755801,-0.0004146290220618368,29,0.3378699999256124
2.5,3.0,10,0.25,0.7,-1.9318256608590445,-0.3246675503535079,48.0,1.0721733943249254,-36.31725483152978,0.11045195556877868,-0.008939760228563291,50,0.33570337717636534
1.5,3.0,14,0.3,0.75,-0.5537540044557113,-0.09252710509457529,46.666666666666664,1.1383807591877964,-43.39793368002784,0.09163680094873151,-0.0021320624566315972,30,0.334353839629136
